timedelta,rangeDiff,batteryPctDiff,distance,temperature
0,34,14,3.0859,6.5
32,11,6,1.2783,7.0
16,7,5,4.3863,4.1
13,5,6,6.799600000000001,1.5
22,4,7,10.0254,12.5
35,16,8,0.5049,8.3
10,8,7,0.15280000000000002,4.2
14,-13,6,6.469399999999999,3.7
25,29,12,8.7912,10.4
16,5,6,7.5265,5.8
7,6,4,1.7328,2.7
10,9,2,1.4441,5.8
2,0,0,0.0,3.7
19,12,9,8.8771,4.6
27,27,8,5.3245,6.6
26,4,3,0.0047,8.3
32,13,4,6.5727,9.9
1,0,0,0.0446,1.1
37,34,22,1.0297,3.7
19,13,5,3.6936,7.0
8,6,4,2.8298,6.9
7,6,3,1.6998,3.1
17,4,4,2.6918,1.4
9,11,5,5.3566,-0.2
16,16,10,7.9647,3.5
30,29,11,0.6015,7.3
6,27,4,3.5021,1.3
52,18,18,12.5946,2.6
14,10,5,2.4122,6.9
18,31,18,15.043700000000001,4.3
30,10,9,7.1733,8.9
13,-2,5,4.986800000000001,6.2
37,30,17,0.3262,4.2
14,-25,3,2.6629,4.1
10,5,4,3.1001999999999996,6.6
34,11,8,3.8225,8.8
18,33,4,3.9114,12.5
16,13,7,3.2835,4.2
24,5,4,4.2835,7.6
9,10,4,4.0865,13.4
27,6,4,0.0175,10.3
56,52,14,3.2451,4.6
7,6,2,3.1579,2.2
22,13,6,4.312,2.8
21,10,5,3.0877,4.0
2,2,1,0.408,8.7
1,0,0,0.0,7.4
38,13,9,4.6066,3.8
13,6,3,3.2313,8.2
33,-10,9,5.271199999999999,2.5
17,-38,4,3.7628000000000004,6.5
7,9,3,2.4995,5.7
16,8,4,2.6458000000000004,8.0
19,11,8,3.5332,4.3
11,10,9,7.2016,7.6
27,5,10,10.9806,5.1
14,25,5,1.2699,8.7
26,14,8,5.0223,4.2
30,20,12,14.4666,8.8
10,10,4,2.6227,7.9
26,7,10,0.2867,7.9
7,5,4,1.5520999999999998,2.2
3,6,2,1.5644,5.3
14,5,4,4.4395,8.7
11,5,4,3.5227,10.5
21,6,6,3.312,6.9
15,21,7,4.368,5.1
12,15,8,6.4395,2.0
0,0,0,0.0,10.5
47,2,0,0.9645,3.3
3,1,0,0.3578,3.4
11,-3,1,3.4387,1.4
23,10,3,1.5971,7.0
54,32,16,9.1989,13.5
18,10,5,5.12,3.4
38,7,4,0.2797,11.2
12,-1,4,4.3933,5.9
19,7,6,4.9487,8.7
10,10,6,4.224,7.7
33,20,8,6.253100000000001,2.7
56,76,43,2.6915999999999998,7.4
10,3,6,6.5505,3.4
13,36,6,2.8399,5.0
9,2,1,0.0024,7.0
26,14,13,11.9099,3.3
30,37,15,0.9969,6.5
20,22,8,9.3204,4.2
39,6,4,4.187399999999999,3.0
7,11,3,3.0975,4.2
12,13,5,0.0132,3.2
26,3,11,14.2029,6.0
10,6,4,0.0031,9.6
12,5,5,1.0914000000000001,9.4
47,19,11,7.6208,7.8
21,18,6,7.3931000000000004,4.9
18,12,6,4.1389,6.2
24,1,3,3.8044000000000002,7.6
25,6,7,9.4985,7.3
12,1,4,2.8779,1.1
14,11,7,6.0195,5.2
38,6,10,0.0091,4.5
7,-1,2,2.6665,11.8
16,39,4,4.0671,7.9
14,4,5,4.2953,4.5
15,6,4,3.409,3.4
14,10,8,0.0043,6.1
46,108,53,0.044899999999999995,7.8
8,7,5,0.8588,4.3
30,11,9,7.4593,2.5
25,22,9,6.1423000000000005,7.9
7,0,2,3.2365,8.9
8,3,3,0.0322,5.2
29,21,8,3.8458,7.8
13,4,6,2.4101,6.2
11,11,7,3.2361,0.8
25,14,8,5.7907,7.8
20,16,11,0.31560000000000005,10.5
15,6,5,6.498399999999999,7.1
5,0,0,0.0,4.9
16,7,5,3.6612,6.4
19,10,6,4.1125,2.7
32,18,12,11.6039,3.4
4,0,1,0.37860000000000005,3.2
42,37,21,0.7681,8.3
20,10,5,0.15,3.5
20,73,37,0.0123,5.8
18,25,11,6.2985,9.6
41,26,20,4.0422,1.9
35,12,8,9.199200000000001,7.5
21,9,9,9.203299999999999,5.9
20,16,10,5.590199999999999,5.6
10,19,12,0.9066000000000001,4.8
33,-8,6,5.1067,7.8
25,9,7,5.0303,7.4
11,4,3,2.4947,5.8
15,4,4,4.026800000000001,4.8
10,26,8,4.297899999999999,5.2
0,0,0,0.0,6.6
29,37,6,4.9635,5.1
12,7,5,3.9560999999999997,11.6
29,-1,5,0.0006,2.6
11,5,3,2.8901,7.7
13,9,6,4.0111,3.6
14,8,5,4.217,9.0
8,35,4,2.7974,3.7
27,12,9,0.0022,6.5
6,4,2,1.0706,2.7
46,18,13,0.3024,10.4
28,14,9,7.6907,1.4
17,40,7,6.083,5.4
38,5,6,1.0639,4.5
7,4,1,1.8240999999999998,4.5
5,4,2,1.0745,8.6
30,11,11,12.2782,7.5
15,8,5,4.722600000000001,4.1
12,9,5,2.42,5.4
18,11,5,6.142,9.5
11,9,3,0.15209999999999999,3.7
10,7,6,2.2361,8.4
28,34,19,0.09140000000000001,7.0
26,30,7,4.4961,2.9
38,28,15,18.085099999999997,8.6
8,9,3,2.2205,3.8
27,91,66,2.0852,4.7
21,1,3,4.950399999999999,8.3
26,8,7,0.8927999999999999,2.8
10,47,5,0.0792,3.1
7,16,3,3.1098000000000003,5.1
22,58,13,10.6283,3.1
49,51,29,1.1236,12.1
17,32,12,12.474,8.1
11,7,3,2.3294,8.8
15,17,8,6.7702,5.4
9,28,7,0.9067000000000001,6.5
16,17,16,18.4919,5.8
18,8,8,8.3523,2.8
11,7,4,2.9704,5.1
18,1,3,4.4108,4.4
3,2,1,0.5406,4.7
7,1,4,2.8735999999999997,0.5
3,0,0,0.0,7.0
12,6,4,3.8377,7.6
48,26,14,1.0183,2.9
20,3,4,4.160100000000001,12.6
13,38,8,5.0202,1.4
10,7,4,4.679,3.5
12,8,5,4.2535,3.0
2,18,20,22.767599999999998,2.0
25,13,8,5.9215,4.3
12,11,4,1.3331,4.3
15,0,6,2.3606,11.8
4,0,0,0.0068,8.7
19,10,7,7.355,7.9
