distance,timedelta,temperature
2.0459,34,5.6
3.5944000000000003,10,5.6
0.0015,58,3.8
2.0362,8,8.6
7.2615,25,5.0
3.9955,12,3.9
1.0549000000000002,10,0.1
4.6098,23,1.4
3.784,14,8.3
4.7725,7,2.1
1.2584000000000002,6,5.8
0.0451,29,0.2
0.0,1,9.2
20.9881,26,2.7
0.602,6,8.9
4.775,16,4.7
0.045700000000000005,39,14.0
1.1212,26,5.3
7.0703000000000005,23,4.1
0.0298,25,3.5
10.7403,16,5.2
5.8891,13,2.7
3.5861,9,8.7
5.8653,22,11.7
0.22440000000000002,5,0.4
2.5565,20,12.3
1.6867999999999999,10,9.0
5.9256,14,6.7
7.8107,27,4.6
0.0,8,4.0
2.6918,17,1.4
3.9286999999999996,13,4.6
0.39080000000000004,13,5.1
7.5596000000000005,23,7.3
1.1393,6,7.8
0.6553,8,7.4
8.0067,25,10.2
2.3446,8,4.0
0.0046,10,6.7
1.9445999999999999,13,6.6
10.1083,59,4.7
4.0142,29,4.1
0.1633,18,7.8
0.6652,15,4.0
6.1668,25,6.4
0.7047,4,1.4
4.6108,55,2.0
8.668700000000001,55,7.2
0.43160000000000004,3,6.0
18.5987,26,5.0
6.2984,13,1.1
5.054399999999999,0,6.1
5.9154,51,12.9
7.2448999999999995,31,12.8
3.802,19,2.0
1.4875,6,8.1
1.8174000000000001,11,4.4
5.7963000000000005,16,8.1
2.5875,16,9.5
4.6813,11,4.7
5.5732,12,7.7
6.6055,13,4.3
0.0,5,9.2
0.0004,5,3.3
5.7337,20,5.3
4.4925,20,2.4
0.0,2,3.8
3.2234000000000003,15,4.6
3.6788000000000003,20,8.8
4.8698999999999995,16,1.9
0.1023,27,3.8
3.2958000000000003,14,2.5
0.4607,37,6.1
2.2281,9,4.3
10.296700000000001,30,5.3
2.6218000000000004,5,5.9
3.3438000000000003,8,6.5
0.1711,18,2.6
1.657,10,3.9
9.5905,40,5.2
12.621799999999999,37,7.6
0.0,1,2.1
0.9757,30,4.1
1.0862,3,8.6
0.0455,24,6.1
0.0,8,2.4
11.199399999999999,21,4.7
7.1898,30,6.1
4.7412,31,2.1
4.764600000000001,11,8.0
4.4864,16,4.2
3.9116999999999997,20,4.7
7.286899999999999,20,8.3
4.5708,20,5.3
3.5246,13,4.5
1.5644,19,3.3
0.4182,18,8.7
3.484,6,6.2
0.0,0,6.1
6.7228,32,4.2
0.0096,46,5.2
5.79,25,2.6
6.6715,20,2.4
2.8935,7,4.5
1.6790999999999998,11,5.7
8.838799999999999,13,2.0
0.3422,4,4.6
1.0944,45,2.3
0.0007,27,6.7
2.6728,40,8.9
2.2575,6,4.3
1.6544,27,5.1
4.6606000000000005,15,4.6
0.0658,9,5.2
1.5644,3,5.3
1.8271,9,2.4
6.2586,28,10.3
0.0034,45,5.8
3.3009,14,9.1
2.4694000000000003,18,14.3
15.251299999999999,29,6.1
6.2637,12,3.7
1.761,5,5.2
12.4554,29,1.9
3.6409000000000002,12,5.7
1.1212,8,13.9
3.1134,5,1.9
6.8193,22,5.6
1.9867000000000001,15,9.4
9.9796,44,6.1
1.6022,4,8.3
0.0,0,2.8
2.165,37,7.2
3.7497,12,5.7
4.9782,14,5.3
2.6797,12,8.7
7.6793000000000005,18,4.1
0.0485,38,9.3
8.4215,19,3.8
1.5102,4,8.7
4.0314,8,4.2
5.3404,9,3.9
6.2444,7,2.0
0.0,2,2.5
0.383,17,10.3
0.8707999999999999,8,2.6
0.0092,22,3.5
0.0808,4,11.4
5.8831999999999995,44,7.6
4.0727,16,1.9
5.123,26,5.9
6.8915,29,8.3
4.1204,20,2.8
5.2921000000000005,9,4.7
0.007,9,6.5
3.0649,13,7.4
5.058,13,3.9
0.0,0,3.5
4.2435,20,2.8
3.3758000000000004,28,4.7
5.212,54,6.4
3.0707,9,6.3
1.2905,7,1.9
7.5315,53,7.4
1.8673,10,3.1
0.9166,4,7.6
7.6243,29,8.0
3.203,15,2.1
5.1941999999999995,16,6.8
10.9581,24,8.0
6.2047,22,9.5
1.0332000000000001,2,3.7
2.3478000000000003,14,2.0
3.6983,12,2.8
0.044899999999999995,21,6.5
8.749600000000001,26,9.0
3.8804000000000003,31,2.9
4.2505,27,4.7
10.2844,20,6.3
3.8706,10,6.4
7.0726,34,3.0
1.426,8,9.2
8.9034,36,4.3
4.8251,16,11.5
1.09,4,4.6
0.0,1,9.7
2.4221,9,13.5
0.8685,2,5.1
8.5594,21,4.2
0.06409999999999999,23,3.9
8.5169,24,7.9
9.119399999999999,28,4.7
0.3103,20,5.5
4.235600000000001,12,4.0
1.1511,17,2.8
9.0065,19,4.1
4.5495,10,1.3
5.7942,14,5.3
3.5533,0,12.8
4.6888000000000005,16,3.4
12.9119,40,8.5
2.0287,13,4.5
6.4061,15,4.8
2.1936,19,2.6
7.982600000000001,31,4.7
4.4341,24,9.5
0.007,9,1.1
6.5272,11,3.3
0.0238,2,8.4
0.0208,42,4.2
12.235899999999999,29,8.2
2.7451,14,12.5
7.267,15,10.3
5.7318999999999996,31,4.9
0.001,15,5.1
2.8208,13,9.2
0.0,3,5.0
1.82,8,5.8
5.8125,11,2.6
3.7783,14,8.2
1.6856,22,8.2
0.0,7,7.6
5.72,19,7.4
3.5658000000000003,8,6.9
1.0005,47,4.5
4.593100000000001,20,5.0
2.3150999999999997,39,9.6
3.1119,29,7.7
4.4498,17,4.3
0.869,33,5.9
4.3905,8,4.5
2.1334,25,3.6
3.9223000000000003,14,7.9
1.7855,12,4.9
4.4422,17,5.4
2.0759000000000003,42,4.4
7.6772,19,9.4
2.3714,10,1.2
6.3048,20,11.7
3.2173000000000003,24,8.0
3.0536,51,3.4
7.7292,16,6.1
5.0366,16,4.0
11.9899,34,6.2
0.5528,4,9.4
1.1502999999999999,22,8.9
3.6748000000000003,7,3.3
1.1665,6,10.3
3.6835,9,6.0
7.703600000000001,19,6.4
0.0545,55,9.0
8.909600000000001,28,5.2
0.0047,51,10.4
9.6005,21,8.1
1.5269000000000001,1,5.0
3.8175,11,8.2
3.4759,11,2.5
1.2555999999999998,7,6.2
10.0903,53,4.7
3.7114000000000003,19,2.0
1.0474,5,3.0
0.0019,18,7.9
4.3179,15,11.5
5.724399999999999,19,11.9
0.8427,15,4.1
1.759,8,2.2
4.5531999999999995,35,6.1
0.19090000000000001,3,5.3
4.6453,12,4.5
3.4303000000000003,20,0.5
0.0,3,9.3
8.351,22,1.3
0.9158999999999999,2,6.0
3.9904,14,4.3
9.6744,21,4.2
2.8075,16,6.7
5.297,16,7.9
1.6841,40,2.7
0.0,18,8.9
4.13,6,3.5
0.4813,4,5.0
7.2852,16,7.3
0.0001,27,7.9
0.2327,33,1.1
6.9393,26,2.9
3.4218,11,3.8
3.2644,11,4.3
0.0,1,8.1
2.4436999999999998,53,1.5
7.565,26,6.5
5.5397,18,5.0
0.7575,12,8.6
6.8534,24,3.6
5.0095,17,3.8
5.842899999999999,16,11.4
2.0039000000000002,26,3.6
0.0029,8,8.6
3.6419,9,1.8
3.5031,19,2.0
0.6925,5,10.5
5.401800000000001,42,5.1
2.9095,9,7.0
4.4734,16,7.8
1.0913,31,7.8
5.3693,19,1.8
0.0,0,9.9
2.0850999999999997,9,0.3
3.9723,18,9.2
1.3296,5,4.3
1.6153,26,4.8
1.1302,21,3.8
0.0006,44,2.2
2.1389,8,11.7
1.4975999999999998,8,0.8
0.0,10,2.6
4.5135,15,6.7
2.812,38,4.2
5.266,9,4.5
21.043400000000002,19,0.3
12.8205,39,9.9
2.3201,21,3.2
10.5991,26,4.5
3.3066,20,4.1
16.9136,51,3.2
4.9495,42,10.0
7.1502,22,5.8
1.7375,14,5.1
0.0,5,7.7
11.627799999999999,27,4.3
5.9575,19,5.2
0.0,12,11.7
8.2101,17,0.2
2.3705,7,2.2
1.0332000000000001,2,2.8
3.5929,18,8.8
2.5997,25,5.3
7.650600000000001,11,3.7
3.7979000000000003,21,4.6
5.5073,25,10.5
7.4698,15,4.8
4.4,51,11.8
16.1755,47,7.9
4.9888,19,1.4
2.5108,14,4.8
13.4182,17,4.1
1.7527000000000001,9,8.2
1.7688,18,7.9
0.8432000000000001,6,6.5
5.8401000000000005,12,9.8
2.2458,5,4.9
2.9002,9,5.7
3.809,13,3.7
4.32,5,3.4
5.5297,23,4.6
4.5602,18,7.9
4.3845,20,9.2
3.2993,14,4.2
7.1431000000000004,16,9.3
0.5141,6,4.4
2.3885,11,4.4
2.7203000000000004,10,1.5
1.9892999999999998,10,8.2
9.3248,18,3.5
13.3638,42,2.7
1.6379000000000001,5,8.6
3.1616,32,5.0
1.5252000000000001,8,6.1
2.1936999999999998,23,3.1
0.0,7,5.0
7.7055,14,1.9
5.1,22,2.6
2.9564,12,3.2
12.4297,36,3.5
0.0,16,10.2
11.1383,29,9.5
2.8787,6,2.6
2.7577,9,7.1
0.9083,5,4.9
4.9665,12,13.5
20.5785,25,8.9
4.6276,19,6.2
2.9048000000000003,22,4.4
7.4836,21,5.0
8.1198,18,7.8
0.0,2,10.5
4.7736,16,9.2
8.8152,25,8.7
0.32030000000000003,37,5.3
0.4418,12,4.3
0.2796,13,5.8
1.0519,44,1.6
3.3539,14,7.2
2.3874,6,11.1
4.9473,58,14.6
10.703100000000001,15,4.3
1.5426,4,8.2
1.7658,12,4.7
9.7823,23,7.8
5.7936000000000005,18,7.9
28.7881,27,3.8
6.309699999999999,12,1.8
0.0031,2,7.9
7.5981000000000005,14,0.9
0.681,33,2.4
0.1646,27,12.5
4.6282,24,4.8
4.9382,16,1.1
10.8126,37,2.7
2.4494000000000002,21,2.8
3.7249,9,5.0
5.3727,22,1.8
7.0891,22,5.9
0.3605,6,5.0
4.3744,26,8.1
7.8942,22,5.2
8.6325,34,4.9
5.2423,13,12.5
3.2645999999999997,59,9.4
23.0291,37,4.3
1.4347,49,2.4
8.3201,10,1.0
5.8658,23,6.2
2.2455,46,5.4
2.3036999999999996,14,4.1
2.6468000000000003,7,3.5
6.7702,15,5.4
2.5943,45,9.8
0.867,5,9.0
4.3673,28,5.8
2.6234,14,8.7
