distance,timedelta,temperature
4.136100000000001,17,7.6
4.0014,7,3.4
10.283700000000001,23,4.1
2.4539,9,7.9
2.5602,1,4.5
4.5156,34,4.5
8.6226,14,8.6
3.6761999999999997,31,4.6
3.3014,10,4.9
3.0080999999999998,24,3.1
7.4386,17,5.4
3.786,11,6.4
12.278799999999999,24,4.0
4.9837,19,9.0
6.7222,16,7.3
1.6248,9,13.2
6.1033,13,9.0
8.0736,25,12.4
3.8821,13,6.2
1.1497,9,6.5
11.0639,24,5.3
8.215,17,5.7
8.985700000000001,23,5.8
2.9707,12,3.7
2.6528,42,9.3
2.3710999999999998,12,1.2
1.3183,4,6.7
0.6177999999999999,30,3.2
1.8013,17,5.7
0.0,0,0.8
4.2649,14,4.7
5.1145,59,6.1
0.0,1,2.9
14.2029,26,6.0
3.6976999999999998,5,8.6
0.8051,43,2.8
4.6388,11,5.5
0.037899999999999996,26,9.3
3.5368000000000004,13,4.1
3.4699,9,5.8
2.8835,17,8.6
5.4464,14,7.6
0.5295,35,4.9
2.9535,25,6.3
2.3817,16,3.4
5.923100000000001,22,4.1
8.2218,36,12.8
5.0378,19,2.6
16.098200000000002,46,5.2
0.060899999999999996,33,9.0
3.8306,9,4.5
6.9536999999999995,23,6.8
4.5617,15,4.7
5.1721,17,4.9
11.282,45,7.7
1.3067,20,11.4
6.4698,13,1.4
2.8568000000000002,6,6.7
7.095899999999999,36,11.4
4.885800000000001,23,4.4
8.927100000000001,34,2.7
4.4695,44,5.8
6.076,20,2.3
1.9241,9,2.6
11.427700000000002,24,9.8
4.647600000000001,7,2.6
5.0457,14,3.3
2.7038,11,2.6
0.023899999999999998,20,3.8
2.9574000000000003,14,7.9
4.5288,14,2.7
6.2394,14,5.3
9.5936,27,5.1
8.6785,11,3.9
9.1651,18,8.2
5.5523,20,10.7
1.0301,20,7.3
2.2134,6,4.7
5.918,25,2.6
4.7243,41,7.8
4.9381,16,4.5
5.8495,13,5.2
5.7618,11,4.5
6.0675,28,5.2
3.8826,13,4.7
3.1665,7,0.7
6.0398000000000005,11,4.7
11.168700000000001,31,1.5
10.796700000000001,19,11.7
1.5323,14,8.6
11.164,28,4.1
1.6064,12,4.2
6.417800000000001,22,4.0
0.0,0,7.1
3.2438000000000002,16,4.7
0.0,1,5.1
14.642299999999999,24,9.4
6.463100000000001,16,5.1
7.5789,21,3.7
2.95,7,7.6
6.0187,51,4.3
8.660200000000001,40,5.0
8.4457,24,6.1
1.019,11,5.3
0.6708,6,5.2
9.903,19,4.0
5.373,14,4.0
1.8842,7,3.0
0.0,0,0.2
4.377,13,3.6
13.1214,51,7.8
12.8735,26,7.7
2.0447,7,1.5
4.1351,15,3.9
0.0,0,7.7
1.2415999999999998,6,9.3
3.3335,6,11.7
1.7530999999999999,10,2.3
4.660399999999999,12,3.2
1.5732000000000002,12,3.8
2.0547,9,7.7
3.8708,9,3.4
9.834200000000001,27,7.5
2.5393000000000003,36,1.9
1.785,11,6.6
4.865600000000001,22,6.1
0.0123,20,5.8
6.4718,12,3.8
0.8077000000000001,18,4.7
3.1161999999999996,16,6.2
0.0595,11,6.1
3.0905,11,5.8
1.639,8,9.2
1.7196,9,2.3
3.3128,13,7.7
5.1227,12,8.5
7.8152,26,0.0
1.8734000000000002,7,2.7
4.6081,16,1.4
1.6367,8,7.8
4.2844,16,4.5
1.6305,5,3.5
1.7785,5,3.0
5.3191999999999995,12,3.2
0.0,9,4.2
1.6524,28,8.9
7.7463999999999995,22,4.9
9.3851,21,5.2
13.1346,37,12.6
0.572,8,2.5
1.6474000000000002,7,4.0
0.7258,14,4.2
6.0133,16,3.9
9.982899999999999,15,1.5
3.1843000000000004,8,4.5
2.6431,16,5.4
4.407,13,5.1
0.09140000000000001,28,7.0
3.2139,25,5.9
5.07,20,3.4
0.0033,18,2.7
8.1969,20,7.5
0.2775,2,1.7
1.6519000000000001,17,7.7
0.5481,30,7.5
6.539899999999999,14,4.6
2.9172,21,5.8
1.9526,22,1.6
0.0,0,4.7
7.3382,36,5.5
6.799600000000001,13,1.5
1.9130999999999998,8,8.5
4.814,18,2.6
1.712,43,4.9
8.6518,19,1.4
4.1609,6,4.7
7.017399999999999,19,7.3
0.0,11,7.7
0.2287,22,5.2
5.0301,15,2.5
6.228899999999999,20,1.3
6.3986,20,3.9
0.015099999999999999,57,8.2
3.2207,28,9.1
4.0525,13,10.4
6.2984,20,2.6
2.112,5,1.4
0.0046,46,5.0
4.1692,16,6.2
1.9650999999999998,8,3.9
0.0,6,3.6
7.3462,18,6.9
5.4756,16,5.9
3.5542,24,6.4
2.8331999999999997,37,6.1
7.8552,25,7.5
2.2226,8,7.8
2.3446,24,7.4
5.6668,15,9.1
7.690300000000001,19,4.7
3.4981,18,3.1
2.1293,23,9.4
3.1721999999999997,23,6.9
1.53,25,3.0
6.2667,19,11.4
3.3253000000000004,14,2.7
0.37710000000000005,49,7.8
3.7254,10,9.6
1.7805,8,14.0
2.346,1,5.0
7.601,20,2.6
3.6311999999999998,14,5.4
0.0060999999999999995,50,3.3
0.0,5,6.2
1.6182999999999998,17,7.9
1.1335,9,5.2
3.1735,9,2.7
0.15480000000000002,3,2.3
11.1865,18,3.8
0.4889,13,2.8
9.4454,19,10.7
10.529399999999999,23,9.1
1.7176,4,7.5
0.4054,10,12.4
4.3754,8,5.0
0.0,1,1.4
11.951600000000001,6,2.6
0.30560000000000004,43,10.5
3.5046999999999997,9,9.2
7.4852,14,2.7
5.333699999999999,25,1.9
1.0152,35,11.4
7.469600000000001,20,4.6
1.4035,12,8.1
0.8803,41,1.9
5.331300000000001,15,5.8
3.6783,27,14.0
2.6485,13,4.6
4.9466,11,0.5
1.6468,6,5.8
0.0062,51,9.2
8.937899999999999,32,0.3
2.5615,7,4.6
3.2534,13,5.3
3.6611,18,11.8
3.5545,22,5.6
3.4711999999999996,10,6.5
0.0066,6,3.7
7.4591,10,4.4
0.22340000000000002,11,8.9
5.582199999999999,13,5.4
0.0,0,3.9
3.3393,9,4.9
6.592899999999999,22,4.2
0.8269,21,10.0
5.2575,16,13.5
2.929,18,1.9
6.4168,15,8.2
10.881200000000002,14,6.6
0.3063,3,1.8
0.9885,1,5.0
0.3568,44,4.6
3.6062,10,8.8
1.5094,5,5.8
2.3101,8,6.6
0.8072999999999999,23,4.6
8.2536,20,8.7
6.396100000000001,19,4.1
0.0,35,3.1
0.1795,9,8.2
6.0495,20,10.3
0.6396000000000001,21,3.9
0.002,17,7.8
2.5276,10,4.5
7.6152,20,2.5
7.8736999999999995,13,4.4
1.2792000000000001,7,8.4
1.0152,10,4.1
4.1396999999999995,29,2.7
3.4211,19,3.6
6.0219,26,3.1
7.7397,33,5.2
9.5212,17,0.0
0.0038,6,3.7
0.0037,56,1.5
8.1547,47,8.4
7.5743,12,2.3
2.7763,12,5.5
2.824,12,10.5
0.0,12,11.4
6.4608,30,4.7
0.0,10,9.5
8.432,23,2.1
7.2189,20,3.3
1.681,9,2.0
10.6934,25,2.1
5.0214,20,3.2
0.4712,1,4.3
1.6622000000000001,11,8.6
6.9416,20,4.4
5.615600000000001,17,4.1
0.0,0,2.9
0.431,13,4.0
9.4395,13,4.5
9.5283,46,4.3
2.3331,24,5.1
2.1096,13,8.0
2.7059,18,6.2
0.004900000000000001,20,6.3
0.0032,15,5.3
8.1764,17,6.3
8.0018,17,2.7
11.834,18,4.1
5.4113999999999995,15,5.9
4.5206,16,4.1
9.460600000000001,26,3.2
1.4564000000000001,5,4.1
2.4751999999999996,11,7.9
1.5078,41,1.9
4.3885,18,7.8
1.0111,4,6.9
5.4928,18,3.5
10.0695,40,2.8
0.9981,3,5.1
0.0067,28,6.3
2.2153,18,10.8
8.6113,45,2.6
2.2950999999999997,13,9.2
0.5488,8,4.2
10.733600000000001,33,8.7
1.8527,34,7.2
9.3312,27,2.9
5.3804,20,3.6
2.9868,12,3.2
3.061,27,14.3
6.9882,22,4.2
0.35810000000000003,12,7.5
12.4245,18,2.7
0.7439,7,5.4
3.1333,27,3.1
0.075,22,5.1
3.8458,29,7.8
5.097899999999999,46,8.7
1.1008,9,8.8
3.1201999999999996,7,6.9
6.6262,14,2.6
0.7545,27,4.6
12.2682,20,3.3
5.635800000000001,34,2.6
5.865399999999999,25,2.7
2.3973,44,3.2
2.8646,15,12.5
1.1371,47,2.6
0.16319999999999998,29,3.4
3.7525,9,6.2
11.931299999999998,46,5.0
0.646,6,7.5
2.2047,7,5.1
0.0,26,2.0
4.2788,1,2.6
4.0007,14,3.8
0.0421,6,5.6
6.263199999999999,13,4.6
0.6347,19,4.7
0.0134,16,5.5
6.488899999999999,23,3.2
4.8171,0,5.5
6.2833000000000006,14,1.2
13.2435,43,8.6
7.2917,16,5.7
2.1434,6,7.7
6.6481,17,2.0
0.9877,37,2.3
1.7734,23,4.6
3.8236,9,0.5
1.7409000000000001,15,6.6
3.643,35,5.6
3.9556,44,3.8
4.6958,16,0.4
4.1647,24,2.6
3.5288000000000004,18,6.6
8.591700000000001,17,3.3
2.7253000000000003,10,6.3
11.4408,23,14.4
2.9571,3,0.9
8.3617,20,3.0
5.3488999999999995,14,5.0
2.8726,6,7.7
5.126,36,8.2
0.0,2,7.5
3.6835999999999998,16,7.2
3.4739,11,1.5
0.1268,13,9.5
4.3183,11,8.7
1.5097,6,4.4
19.059,21,5.7
0.8169,4,7.8
1.4447,54,2.8
6.2336,11,4.3
0.028399999999999998,51,4.2
1.0754000000000001,8,8.9
4.0473,15,1.5
3.3390999999999997,11,4.2
4.8328,15,12.6
4.184399999999999,53,10.4
0.0304,15,4.5
1.3303,22,8.9
3.4276,8,0.3
6.2059,26,8.1
5.5926,27,10.7
1.5647,21,7.5
6.972600000000001,54,3.0
6.081600000000001,14,2.9
6.097899999999999,14,8.4
1.1122999999999998,9,4.0
1.2529000000000001,17,8.2
